"data e hora","caso de teste","mensagem"
"[2021/07/15 20:51:05.737]","Consultar Curso CTFL","Passo 1 - Abriu o site"
"[2021/07/15 20:51:06.738]","Consultar Curso CTFL","Passo 2 - Digitou preparatorio CTFL"
"[2021/07/15 20:51:09.582]","Consultar Curso CTFL","Passo 3 - Exibiu a lista de cursos"
"[2021/07/15 20:51:12.398]","Consultar Curso CTFL","Passo 4 - Exibiu o carrinho de compras"
"[2021/07/15 20:51:15.626]","Consultar Curso Mantis","Iniciou o testes"
"[2021/07/15 20:51:23.590]","Consultar Curso Mantis","Passo 1 - Abriu o site"
"[2021/07/15 20:51:23.698]","Consultar Curso Mantis","Passo 2 - Digitou Mantis"
"[2021/07/15 20:51:26.707]","Consultar Curso Mantis","Passo 3 - Validou curso Mantis"
"[2021/07/15 20:51:26.742]","Consultar Curso Mantis","Passo 4 - Exibiu a lista de cursos"
"[2021/07/15 20:51:29.198]","Consultar Curso Mantis","Passo 5 - Exibiu o carrinho de compras"
